video_id,cvt_per_day,weighted_categorical_position,weighted_horizontal_poition,import_id,release_year,genres,imdb_votes,budget,boxoffice,imdb_rating,duration_in_mins,metacritic_score,awards,mpaa,star_category
385504,307127.60560792737,1,3,lionsgate,2013,"Action,Thriller,Drama",69614,15000000,42930462,6.5,112.30101666666665,51,other award,PG-13,1.71
300175,270338.42637476756,1,3,lionsgate,2013,"Comedy,Crime,Thriller",46705,15000000,3301046,6.5,94.983249999999998,41,no award,R,3.25
361899,256165.86744634481,1,3,other,2012,"Crime,Drama",197596,26000000,37397291,7.3000001907348633,115.76367478333333,58,other award,R,2.6466666666000003
308314,196622.72099632552,3,4,lionsgate,2008,"Thriller,Drama,War,Documentary,Mystery,Action",356339,15000000,15700000,7.5999999046325684,130.70358333333334,94,Oscar,R,1.6666666666666667
307201,159841.65206386999,1,3,lionsgate,2013,"Crime,Thriller,Mystery,Documentary",46720,27220000,8551228,6.4000000953674316,105.54553333333334,37,other award,R,3.0666666664999997
389496,135076.60975043275,1,5,mgm,2000,Comedy,13250,60000000,32095318,5.5,98.468350000000001,37,no award,PG-13,2.75
385507,134155.74019917971,1,6,lionsgate,2013,"Action,Adventure,Thriller",16188,11000000,8551228,5.1999998092651367,94.336416666666679,57,other award,R,2.7399999999999998
380517,116906.00792371841,1,7,lionsgate,2014,"Western,Drama",24321,16000000,2428883,6.5999999046325684,123.30251666666666,68,other award,R,3.0027777778333333
369857,116871.1216198732,2,9,lionsgate,2013,"Thriller,Crime,Western",119679,45000000,12026670,6.4000000953674316,107.21283333333334,54,other award,R,1.822222222222222
393463,111565.59674657749,2,7,lionsgate,2009,"Action,Adventure,Sci-Fi,Fantasy,Thriller",0,0,0,0,94.748448449999998,0,other award,R,2.0796296296666665
307719,103283.89933880715,3,5,lionsgate,2004,"Crime,Drama",377227,6500000,54557348,7.8000001907348633,112.44374999999999,69,Oscar,R,2.3633333333000004
302360,98665.990337930038,1,4,lionsgate,2012,"Action,Mystery,Thriller",21575,10400000,8551228,5.6999998092651367,97.5,57,other award,R,2.2142857142857144
300842,94997.158082911832,3,9,lionsgate,2007,"Crime,Horror,Mystery,Drama,Thriller",27189,8000000,3992339,5.9000000953674316,97.61666666666666,37,other award,R,1.325
326237,93536.514169073096,3,10,lionsgate,2007,"Sport,Kids & Family,Drama",5636,1500000,8551228,5.8000001907348633,108.90548333333332,55,other award,PG,1.5205882352941176
